time,lat,lon,sst
2023-01-09,26.375,123.875,23.06
2023-01-09,26.625,122.125,21.64
2023-01-09,26.625,122.375,22.0
2023-01-09,26.625,122.625,22.1
2023-01-09,26.625,122.875,22.15
2023-01-09,26.625,123.125,22.25
2023-01-09,26.625,123.375,22.31
2023-01-09,26.625,123.625,22.23
2023-01-09,26.625,123.875,22.14
2023-01-09,26.875,122.125,21.08
2023-01-09,26.875,122.375,21.289999
2023-01-09,26.875,122.625,21.18
2023-01-09,26.875,122.875,21.14
2023-01-09,26.875,123.125,21.16
2023-01-09,26.875,123.375,21.25
2023-01-09,26.875,123.625,21.3
2023-01-09,26.875,123.875,21.34
2023-01-10,25.125,122.125,23.869999
2023-01-10,25.125,122.375,24.68
2023-01-10,25.125,122.625,25.039999
2023-01-10,25.125,122.875,24.83
2023-01-10,25.125,123.125,24.38
2023-01-10,25.125,123.375,24.019999
2023-01-10,25.125,123.625,23.66
2023-01-10,25.125,123.875,23.47
2023-01-10,25.375,122.125,23.48
2023-01-10,25.375,122.375,24.529999
2023-01-10,25.375,122.625,25.1
2023-01-10,25.375,122.875,25.01
2023-01-10,25.375,123.125,24.65
2023-01-10,25.375,123.375,24.279999
2023-01-10,25.375,123.625,24.019999
2023-01-10,25.375,123.875,23.769999
2023-01-10,25.625,122.125,23.529999
2023-01-10,25.625,122.375,24.56
2023-01-10,25.625,122.625,25.13
2023-01-10,25.625,122.875,25.14
2023-01-10,25.625,123.125,24.85
2023-01-10,25.625,123.375,24.57
2023-01-10,25.625,123.625,24.31
2023-01-10,25.625,123.875,24.09
2023-01-10,25.875,122.125,23.48
2023-01-10,25.875,122.375,24.38
2023-01-10,25.875,122.625,24.869999
2023-01-10,25.875,122.875,24.96
2023-01-10,25.875,123.125,24.89
2023-01-10,25.875,123.375,24.68
2023-01-10,25.875,123.625,24.38
2023-01-10,25.875,123.875,24.15
2023-01-10,26.125,122.125,23.13
2023-01-10,26.125,122.375,23.89
2023-01-10,26.125,122.625,24.269999
2023-01-10,26.125,122.875,24.46
2023-01-10,26.125,123.125,24.42
2023-01-10,26.125,123.375,24.269999
2023-01-10,26.125,123.625,24.039999
2023-01-10,26.125,123.875,23.769999
2023-01-10,26.375,122.125,22.47
2023-01-10,26.375,122.375,23.029999
2023-01-10,26.375,122.625,23.3
2023-01-10,26.375,122.875,23.43
2023-01-10,26.375,123.125,23.49
2023-01-10,26.375,123.375,23.42
2023-01-10,26.375,123.625,23.199999
2023-01-10,26.375,123.875,22.949999
2023-01-10,26.625,122.125,21.59
2023-01-10,26.625,122.375,22.07
2023-01-10,26.625,122.625,22.18
2023-01-10,26.625,122.875,22.23
2023-01-10,26.625,123.125,22.3
2023-01-10,26.625,123.375,22.279999
2023-01-10,26.625,123.625,22.17
2023-01-10,26.625,123.875,22.01
2023-01-10,26.875,122.125,20.99
2023-01-10,26.875,122.375,21.27
2023-01-10,26.875,122.625,21.27
2023-01-10,26.875,122.875,21.23
2023-01-10,26.875,123.125,21.27
2023-01-10,26.875,123.375,21.35
2023-01-10,26.875,123.625,21.32
2023-01-10,26.875,123.875,21.289999
2023-01-11,25.125,122.125,23.83
2023-01-11,25.125,122.375,24.74
2023-01-11,25.125,122.625,25.21
2023-01-11,25.125,122.875,25.07
2023-01-11,25.125,123.125,24.619999
2023-01-11,25.125,123.375,24.189999
2023-01-11,25.125,123.625,23.85
2023-01-11,25.125,123.875,23.58
2023-01-11,25.375,122.125,23.369999
2023-01-11,25.375,122.375,24.5
2023-01-11,25.375,122.625,25.14
2023-01-11,25.375,122.875,25.1
2023-01-11,25.375,123.125,24.779999
2023-01-11,25.375,123.375,24.4
2023-01-11,25.375,123.625,24.13
2023-01-11,25.375,123.875,23.91
2023-01-11,25.625,122.125,23.39
2023-01-11,25.625,122.375,24.49
2023-01-11,25.625,122.625,25.109999
2023-01-11,25.625,122.875,25.18
